user_id,anime_ids
20807,1691 1691 1691 1691 1691
131988,1691 1691 1691 1691 1691
312302,1691 1691 1691 1691 1691
283786,1691 1691 1691 1691 1691
297931,1691 1691 1691 1691 1691
63900,1691 1691 1691 1691 1691
281232,1691 1691 1691 1691 1691
189037,1691 1691 1691 1691 1691
92529,1691 1691 1691 1691 1691
162615,1691 1691 1691 1691 1691
85472,1691 1691 1691 1691 1691
252520,1691 1691 1691 1691 1691
173716,1691 1691 1691 1691 1691
68042,1691 1691 1691 1691 1691
182280,1691 1691 1691 1691 1691
264001,1691 1691 1691 1691 1691
11100,1691 1691 1691 1691 1691
122341,1691 1691 1691 1691 1691
222150,1691 1691 1691 1691 1691
22022,1691 1691 1691 1691 1691
269633,1691 1691 1691 1691 1691
315617,1691 1691 1691 1691 1691
333379,1691 1691 1691 1691 1691
222177,1691 1691 1691 1691 1691
130106,1691 1691 1691 1691 1691
259790,1691 1691 1691 1691 1691
336459,1691 1691 1691 1691 1691
222811,1691 1691 1691 1691 1691
61445,1691 1691 1691 1691 1691
323328,1691 1691 1691 1691 1691
291207,1691 1691 1691 1691 1691
277841,1691 1691 1691 1691 1691
284246,1691 1691 1691 1691 1691
211814,1691 1691 1691 1691 1691
233787,1691 1691 1691 1691 1691
16869,1691 1691 1691 1691 1691
156207,1691 1691 1691 1691 1691
128647,1691 1691 1691 1691 1691
138375,1691 1691 1691 1691 1691
83196,1691 1691 1691 1691 1691
38143,1691 1691 1691 1691 1691
10255,1691 1691 1691 1691 1691
300428,1691 1691 1691 1691 1691
259885,1691 1691 1691 1691 1691
328195,1691 1691 1691 1691 1691
323953,1691 1691 1691 1691 1691
271257,1691 1691 1691 1691 1691
336750,1691 1691 1691 1691 1691
189043,1691 1691 1691 1691 1691
57684,1691 1691 1691 1691 1691
192373,1691 1691 1691 1691 1691
304886,1691 1691 1691 1691 1691
34501,1691 1691 1691 1691 1691
316154,1691 1691 1691 1691 1691
159019,1691 1691 1691 1691 1691
196801,1691 1691 1691 1691 1691
